TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
19999.0,7.0,-273.0,-268.04517599999997,18.563865600000007,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.0,0.0,5.0,0.0,nan,nan,nan,nan,1.0,0.0,0.0
20999.0,8.0,-273.0,-268.04517599999997,18.563865600000007,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,5.0,0.0,nan,nan,nan,nan,1.0,0.0,0.0
21645.0,15.0,-273.0,-268.04517599999997,18.563865600000007,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,5.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
22645.0,9.0,-273.0,-268.04517599999997,18.563865600000007,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,5.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
23645.0,10.0,-273.0,-268.04517599999997,18.563865600000007,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
24645.0,11.0,-273.0,-268.04517599999997,18.563865600000007,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
25645.0,0.0,-273.0,-268.04517599999997,18.563865600000007,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
26645.0,1.0,-273.0,-268.04517599999997,18.563865600000007,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
27645.0,2.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
28645.0,3.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
29645.0,4.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.174843824,0.14974579200000002,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
30645.0,5.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
31645.0,6.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,0.0033032160000000003,0.8147932800000001,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
32645.0,7.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,1.000874448,0.8147932800000001,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
33645.0,8.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
34645.0,9.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
35645.0,10.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
36645.0,11.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
37645.0,0.0,-273.0,-268.04517599999997,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
38645.0,1.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
39645.0,2.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
40645.0,3.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,1.0074808800000001,1.0,0.0,0.0
41490.0,15.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.174843824,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
42490.0,4.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,2.0149617600000003,2.0,0.0,0.0
43490.0,5.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.371061264,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
44490.0,6.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.36885912,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
45490.0,7.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.36885912,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
46490.0,8.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.36885912,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
47490.0,9.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.36885912,1.000874448,0.870947952,0.0,7.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
48490.0,10.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.36885912,1.000874448,0.870947952,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
49490.0,11.0,-273.0,-268.1552832,18.673972800000005,-273.0,1.175944896,0.766346112,0.36885912,1.000874448,0.870947952,0.0,8.0,0.0,nan,nan,nan,2.0149617600000003,1.0,0.0,0.0
