TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
173999.0,5.0,nan,nan,nan,nan,nan,0.14974579200000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,0.0
174999.0,6.0,nan,nan,nan,nan,nan,0.14974579200000002,0.371061264,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,0.0
175999.0,7.0,nan,nan,nan,nan,nan,0.14974579200000002,0.371061264,0.0033032160000000003,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,0.0
176999.0,8.0,nan,nan,nan,nan,nan,0.14974579200000002,0.371061264,0.0033032160000000003,0.822500784,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,0.0
177999.0,9.0,nan,nan,nan,nan,nan,0.14974579200000002,0.371061264,0.0033032160000000003,0.822500784,0.0,nan,nan,nan,nan,nan,nan,1.0,0.0,0.0
178999.0,10.0,nan,nan,nan,nan,nan,0.14974579200000002,0.371061264,0.0033032160000000003,0.822500784,0.0,6.0,nan,nan,nan,nan,nan,1.0,0.0,0.0
179999.0,11.0,nan,nan,nan,nan,nan,0.14974579200000002,0.371061264,0.0033032160000000003,0.822500784,0.0,6.0,0.0,nan,nan,nan,nan,1.0,0.0,0.0
180999.0,0.0,-273.0,nan,nan,nan,nan,0.14974579200000002,0.371061264,0.0033032160000000003,0.822500784,0.0,6.0,0.0,nan,nan,nan,nan,1.0,0.0,0.0
181994.0,15.0,-273.0,nan,nan,nan,nan,0.14974579200000002,0.371061264,0.0033032160000000003,0.822500784,0.0,6.0,0.0,nan,nan,nan,1.5415008000000001,1.0,0.0,0.0
182994.0,1.0,-273.0,-268.1552832,nan,nan,nan,0.14974579200000002,0.371061264,0.0033032160000000003,0.822500784,0.0,6.0,0.0,nan,nan,nan,1.5415008000000001,1.0,0.0,0.0
183994.0,2.0,-273.0,-268.1552832,16.031400000000005,nan,nan,0.14974579200000002,0.371061264,0.0033032160000000003,0.822500784,0.0,6.0,0.0,nan,nan,nan,1.5415008000000001,1.0,0.0,0.0
184994.0,3.0,-273.0,-268.1552832,16.031400000000005,-273.0,nan,0.14974579200000002,0.371061264,0.0033032160000000003,0.822500784,0.0,6.0,0.0,nan,nan,nan,1.5415008000000001,1.0,0.0,0.0
185994.0,4.0,-273.0,-268.1552832,16.031400000000005,-273.0,1.169338464,0.14974579200000002,0.371061264,0.0033032160000000003,0.822500784,0.0,6.0,0.0,nan,nan,nan,1.5415008000000001,1.0,0.0,0.0
186994.0,5.0,-273.0,-268.1552832,16.031400000000005,-273.0,1.169338464,1.129699872,0.371061264,0.0033032160000000003,0.822500784,0.0,6.0,0.0,nan,nan,nan,1.5415008000000001,1.0,0.0,0.0
187994.0,6.0,-273.0,-268.1552832,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,0.0033032160000000003,0.822500784,0.0,6.0,0.0,nan,nan,nan,1.5415008000000001,1.0,0.0,0.0
188994.0,7.0,-273.0,-268.1552832,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.822500784,0.0,6.0,0.0,nan,nan,nan,1.5415008000000001,1.0,0.0,0.0
189994.0,8.0,-273.0,-268.1552832,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.906182256,0.0,6.0,0.0,nan,nan,nan,1.5415008000000001,1.0,0.0,0.0
190994.0,9.0,-273.0,-268.1552832,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.906182256,0.0,6.0,0.0,nan,nan,nan,1.5415008000000001,1.0,0.0,0.0
191104.0,15.0,-273.0,-268.1552832,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.906182256,0.0,6.0,0.0,nan,nan,nan,1.8718224,1.0,0.0,0.0
192104.0,10.0,-273.0,-268.1552832,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.906182256,0.0,8.0,0.0,nan,nan,nan,1.8718224,1.0,0.0,0.0
193104.0,11.0,-273.0,-268.1552832,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.906182256,0.0,8.0,0.0,nan,nan,nan,1.8718224,1.0,0.0,0.0
194104.0,0.0,-273.0,-268.1552832,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.906182256,0.0,8.0,0.0,nan,nan,nan,1.8718224,1.0,0.0,0.0
195104.0,1.0,-273.0,-268.2653904,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.906182256,0.0,8.0,0.0,nan,nan,nan,1.8718224,1.0,0.0,0.0
196104.0,2.0,-273.0,-268.2653904,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.906182256,0.0,8.0,0.0,nan,nan,nan,1.8718224,1.0,0.0,0.0
196810.0,15.0,-273.0,-268.2653904,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.906182256,0.0,8.0,0.0,nan,nan,nan,2.202144,0.0,0.0,0.0
197810.0,3.0,-273.0,-268.2653904,16.031400000000005,-273.0,1.169338464,1.129699872,0.369960192,1.53049008,0.906182256,0.0,8.0,0.0,nan,nan,nan,2.202144,1.0,0.0,0.0
