,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
113,68.999,True,1.075888,1.111831,1.149496,1.140682
114,69.999,False,2.538338,6.9e-05,0.0,0.0
115,69.999,True,1.075957,1.111831,1.149496,1.14082
116,70.999,False,2.820719,6.9e-05,0.0,0.0
117,70.999,True,1.075888,1.111624,1.14984,1.140613
118,71.999,False,3.102412,6.9e-05,0.0,0.0
119,71.999,True,1.075819,1.111556,1.14984,1.14082
120,72.999,False,0.0,6.9e-05,0.0,0.0
121,72.999,True,1.075957,1.111693,1.149702,1.140751
122,73.999,False,0.284998,6.9e-05,0.0,0.0
123,73.999,True,1.076094,1.111693,1.149771,1.14082
124,74.999,False,0.745168,6.9e-05,0.0,0.0
125,74.999,True,1.075819,1.111762,1.149633,1.140751
126,75.999,False,0.846112,6.9e-05,0.0,0.0
127,75.999,True,1.075957,1.111624,1.149771,1.140751
128,76.999,False,1.200863,6.9e-05,0.0,0.0
129,76.999,True,1.075957,1.111762,1.149564,1.14082
130,77.999,False,1.419483,6.9e-05,0.0,0.0
131,77.999,True,1.075888,1.111693,1.149496,1.140751
132,78.999,False,1.715292,6.9e-05,0.0,0.0
133,78.999,True,1.075957,1.111624,1.149358,1.14082
134,79.999,False,1.974469,6.9e-05,0.0,0.0
135,79.999,True,1.076094,1.111693,1.149358,1.140475
136,80.999,False,2.307185,6.9e-05,0.0,0.0
137,80.999,True,1.075819,1.111487,1.149702,1.140544
138,81.999,False,2.538338,6.9e-05,0.0,0.0
139,81.999,True,1.075888,1.111556,1.149496,1.140544
140,82.999,False,2.820719,6.9e-05,0.0,0.0
141,82.999,True,1.075888,1.111624,1.149427,1.140475
142,83.999,False,3.102412,6.9e-05,0.0,0.0
143,83.999,True,1.075957,1.111556,1.149702,1.140475
144,84.999,False,0.0,6.9e-05,0.0,0.0
145,84.999,True,1.075957,1.111693,1.149427,1.140682
146,85.999,False,0.284998,6.9e-05,0.0,0.0
147,85.999,True,1.075888,1.111556,1.149702,1.140544
148,86.999,False,0.745237,6.9e-05,0.0,0.0
149,86.999,True,1.076094,1.111556,1.149564,1.140269
150,87.999,False,0.846112,6.9e-05,0.0,0.0
151,87.999,True,1.075957,1.111624,1.149427,1.140407
152,88.999,False,1.201207,6.9e-05,0.0,0.0
153,88.999,True,1.07575,1.111693,1.149633,1.1402
154,89.999,False,1.419552,6.9e-05,0.0,0.0
155,89.999,True,1.075819,1.111624,1.149427,1.140407
156,90.999,False,1.715292,6.9e-05,0.0,0.0
157,90.999,True,1.07575,1.111487,1.149633,1.140682
158,91.999,False,1.974469,6.9e-05,0.0,0.0
159,91.999,True,1.07575,1.111418,1.149564,1.140682
160,92.999,False,2.307185,6.9e-05,0.0,0.0
161,92.999,True,1.07575,1.111349,1.149564,1.140544
