Time,PinPullerTemp,Spare,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
8211432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.1914E+0,2.7615E+0,371.0613E-3,3.8273E+0,1.0526E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,46,0,0
8212432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.1914E+0,2.7615E+0,371.0613E-3,3.8273E+0,1.0526E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,40,0,0
8213432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.1914E+0,2.7615E+0,371.0613E-3,3.8273E+0,1.0526E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,47,0,0
8214432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.1914E+0,2.7615E+0,371.0613E-3,3.8273E+0,1.0526E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,42,0,0
8215432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.1914E+0,2.7615E+0,371.0613E-3,3.8273E+0,1.0526E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,49,0,0
8216432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.1914E+0,2.7615E+0,371.0613E-3,3.8273E+0,1.0526E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,57,0,0
8217432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7615E+0,371.0613E-3,3.8273E+0,1.0526E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,47,0,0
8218432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,371.0613E-3,3.8273E+0,1.0526E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,46,0,0
8219432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0526E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,46,0,0
8220432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0526E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,37,0,0
8221432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,32,0,0
8222432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,55,0,0
8223432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,47,0,0
8224432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,37,0,0
8225432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,51,0,0
8226432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,46,0,0
8227432,-273.0000E+0,-268.4856E+0,21.0963E+0,-273.0000E+0,1.2145E+0,2.7626E+0,372.1623E-3,3.8273E+0,1.0559E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,3.8626E+0,42,0,0
