Time,PinPullerTemp,Spare,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
999,-273.0000E+0,-268.7058E+0,26.3815E+0,-273.0000E+0,1.1903E+0,1.7606E+0,374.3645E-3,2.3376E+0,967.8423E-3,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,0,0,0
1999,-273.0000E+0,-273.0000E+0,26.3815E+0,-273.0000E+0,1.1903E+0,1.7606E+0,374.3645E-3,2.3376E+0,967.8423E-3,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
2999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,1.1903E+0,1.7606E+0,374.3645E-3,2.3376E+0,967.8423E-3,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
3999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,1.1903E+0,1.7606E+0,374.3645E-3,2.3376E+0,967.8423E-3,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
4999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,1.7606E+0,374.3645E-3,2.3376E+0,967.8423E-3,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
5999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,374.3645E-3,2.3376E+0,967.8423E-3,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
6999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,2.3376E+0,967.8423E-3,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
7999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,967.8423E-3,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
8999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
9999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,14.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
10999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,4.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
11999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,4.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
12999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,4.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
13999,-273.0000E+0,-262.5398E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,4.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
14999,-273.0000E+0,-262.5398E+0,15.1505E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,4.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
15999,-273.0000E+0,-262.5398E+0,15.1505E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,4.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
16999,-273.0000E+0,-262.5398E+0,15.1505E+0,-273.0000E+0,1.1693E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,4.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
